date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,symbol
1580515200000,179.94,184.28,179.23,183.6,259370.12902,1580601599999,47263178.0667823,124149,125544.78709,22884938.0460562,0,ETH
1580601600000,183.63,193.43,179.1,188.44,552621.13619,1580687999999,104105613.5587851,222425,280248.03436,52807627.8038155,0,ETH
1580688000000,188.48,195.19,186.62,189.69,417175.95781,1580774399999,79336312.5246923,181726,213868.71408,40681548.2464329,0,ETH
1580774400000,189.74,191.6,184.69,188.91,366389.69686,1580860799999,68720832.6152937,173353,174776.24193,32795529.6534851,0,ETH
1580860800000,188.91,207.61,188.19,203.78,550942.11417,1580947199999,108659358.5359186,241415,291264.24776,57410798.3246293,0,ETH
1580947200000,203.78,216.33,201.02,213.19,608240.2233,1581033599999,127874220.8146868,276196,302771.02677,63669109.1242611,0,ETH
1581033600000,213.16,225.0,213.14,223.33,629361.15466,1581119999999,138524804.2175759,268274,313125.9063,68898379.2782687,0,ETH
1581120000000,223.36,227.75,213.22,223.05,548551.87465,1581206399999,122069507.6551116,257281,277426.26209,61749990.2200408,0,ETH
1581206400000,223.01,230.65,222.86,228.49,350336.24399,1581292799999,79674647.0001999,183735,172523.02255,39249445.3995473,0,ETH
1581292800000,228.53,229.4,216.37,222.89,510415.49949,1581379199999,113385288.9503017,232617,255575.45007,56800747.205157,0,ETH
1581379200000,222.89,239.15,218.17,236.69,595576.90276,1581465599999,135863928.6243058,250241,309901.3087,70710866.2284784,0,ETH
1581465600000,236.69,275.34,236.69,265.74,1038073.74782,1581551999999,266734296.5502973,415316,521382.12082,133916108.0162091,0,ETH
1581552000000,265.74,277.69,256.08,268.32,1089679.1537,1581638399999,291533156.0916954,422008,539389.59743,144330540.7388708,0,ETH
1581638400000,268.34,287.15,260.28,285.15,734944.32266,1581724799999,201120424.5832201,309022,380703.78554,104184138.4392392,0,ETH
1581724800000,285.11,288.41,261.86,264.88,860813.14274,1581811199999,236287101.09867713,348934,419793.2113,115254803.5105833,0,ETH
1581811200000,264.91,274.0,237.41,258.85,1110118.46395,1581897599999,286269166.28143686,416082,526993.06165,135974874.7741805,0,ETH
1581897600000,258.89,268.77,242.0,267.85,1110371.39094,1581983999999,280371301.75499165,417529,542125.21208,136867563.5306377,0,ETH
1581984000000,267.9,285.88,258.0,282.61,1115523.43992,1582070399999,304162263.306139,431799,550241.0207,150109585.6524815,0,ETH
1582070400000,282.64,285.0,251.56,258.45,705973.72988,1582156799999,191887955.75834832,298048,343303.10692,93329064.5080645,0,ETH
1582156800000,258.44,264.33,245.34,256.96,972969.71691,1582243199999,249383114.01101127,373551,494884.31858,126895480.4339393,0,ETH
1582243200000,256.97,268.24,253.61,265.27,525827.8734,1582329599999,137848242.4279305,214306,269791.13743,70748990.1970725,0,ETH
1582329600000,265.32,266.81,256.0,261.57,313062.52133,1582415999999,81781388.3193534,136810,156822.35067,40974857.939117,0,ETH
1582416000000,261.55,275.68,261.02,274.48,444740.82883,1582502399999,120024058.9719663,178464,225478.68725,60845374.1984494,0,ETH
1582502400000,274.5,277.2,257.09,265.52,696591.72983,1582588799999,185949182.70858073,263161,330793.92829,88287487.1865277,0,ETH
1582588800000,265.47,266.22,244.44,246.67,774791.01027,1582675199999,197442911.54473168,277457,381947.38852,97346482.2259515,0,ETH
1582675200000,246.67,250.32,215.66,223.93,1395879.41507,1582761599999,324229460.6211602,454355,656347.55839,152612432.4447537,0,ETH
1582761600000,223.98,238.3,210.0,227.79,1273793.11658,1582847999999,287322727.2967257,415969,627806.95842,141632481.6721453,0,ETH
1582848000000,227.73,234.67,214.01,226.76,1054994.92397,1582934399999,236064804.3345943,347125,510185.33752,114271376.0122023,0,ETH
1582934400000,226.76,233.0,217.0,217.21,546866.6851,1583020799999,123635801.0178253,211771,276266.12871,62479741.1767397,0,ETH
